"papel","descricao_papel","cotacao","PSL","PSVP","PSR","div_yield","PSA","PSCG","PSEBIT","PSACL","EV_EBIT","EV_EBITDA","margem_EBIT","margem_liq","liq_corrente","ROIC","ROE","liq_2meses","PL","div_bruta_PL","taxa_cresc_RL_5anos"
"SLCE3","SLC Agricola",16.74,18.47,1.5,0.98,0.0528,0.442,2.25,6.34,-2.03,9.9,8.06,0.1545,0.0502,1.71,0.0826,0.081,40012800,4957970000,1.19,0.2271
"BFIT3","BANCO SUDAMERIS BRASIL SA",0.98,18.49,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0.1115,0,1849420000,0,0.3567
"TMCP3","TELEMIG CELULAR PARTICIPAÇÕES S.A.",56,18.58,1.38,1.525,0,0.937,3.85,24.25,4.74,19.68,19.68,0.0629,0.0975,2.3,0.0554,0.0744,0,1798930000,0.03,0.1049
"GUAR3","GUARARAPES CONFECÇÕES",8.06,18.72,0.78,0.431,0.0149,0.309,1.39,5.68,18.24,6.91,3.53,0.0759,0.023,1.55,0.0664,0.0417,9908150,5155640000,0.39,0.1
"SMLE3","SMILES",92.82,18.88,21.91,6.635,0,6.477,-124,16.5,-42.31,16.32,13.2,0.4022,0.3514,0.91,0.4617,1.1604,0,524731000,0,0.3683
"TMCP4","TELEMIG CELULAR PARTICIPAÇÕES S.A.",58.2,19.31,1.44,1.585,0,0.973,4,25.21,4.92,20.63,20.63,0.0629,0.0975,2.3,0.0554,0.0744,0,1798930000,0.03,0.1049
"SRNA3","SERENA",6.74,19.61,0.79,1.203,0,0.211,-116.57,4.41,-0.36,15.42,9.01,0.2727,0.0618,0.99,0.0519,0.0401,20916200,5339170000,2.2,0.336
"AUTM3","AUTOMETAL",19.7,20,1.9,0.709,0,0.547,4.08,6.78,-2.42,8.22,8.99,0.1047,0.0431,1.48,0.1193,0.095,0,1304250000,0.97,0.2821
"AEDU11","ANHANGUERA EDUCACIONAL PARTICIPAÇÕES SA",37.35,20.13,1.13,1.405,0,0.732,5.77,13.93,-7.31,16.14,10.82,0.1008,0.0698,2.04,0.0577,0.056,0,2415400000,0.3,0.209
"AFLT3","AFLUENTE T",7.21,20.13,1.84,8.299,0.0808,1.448,15.92,15.36,42.91,14.65,14.4,0.5403,0.4122,1.59,0.103,0.0913,1201.79,247459000,0,0.1493
"JPSA3","IGUATEMI S.A",29.02,20.27,1.93,4.667,0.0029,0.468,2.34,12.96,-1.68,20.35,12.83,0.3602,0.4631,5.31,0.0456,0.0951,7666510,1762140000,1.94,0.0101
